"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C11";"CP_Tantalum_Case-D_EIA-7343-31_Hand";1;"100m/16V";;;
2;"C10";"CP_Tantalum_Case-D_EIA-7343-31_Hand";1;"100u/16V";;;
3;"L1";"SMD-1210_Pol";1;"330u";;;
4;"P3";"Pin_Header_Straight_1x04";1;"CONN_4";;;
5;"J5";"1pin_smd";1;"TDI";;;
6;"J4";"1pin_smd";1;"TDO";;;
7;"J3";"1pin_smd";1;"TCK";;;
8;"J2";"1pin_smd";1;"TMS";;;
9;"J1";"1pin_smd";1;"Ant";;;
10;"C24,C4,C1,C5,C28,C3,C12,C7,C8";"C_0805_HandSoldering";9;"100n";;;
11;"IC1";"TQFP-32_7x7mm_Pitch0.8mm";1;"ATMEGA88-A";;;
12;"Y1";"MURATA_CSTCE_V53";1;"16MHz";;;
13;"U2";"F-6188_nosilk";1;"F-6188";;;
14;"P1";"Pin_Header_Straight_1x12_Pitch2.54mm";1;"CONN_10";;;
15;"U3";"SOIC-8-N";1;"LM358";;;
16;"C14,C9";"c_elec_6.3x5.7";2;"47m/25V";;;
17;"C13";"TantalC_SizeA_EIA-3216_HandSoldering";1;"2m2/16V";;;
18;"R16,R17";"R_0805_HandSoldering";2;"100k";;;
19;"C22";"TantalC_SizeA_EIA-3216_Wave";1;"4u7/10V";;;
20;"C15,C16,C17,C18";"C_0805_HandSoldering";4;"33p";;;
21;"R25,R27";"R_0805_HandSoldering";2;"1k2";;;
22;"C23,C27";"C_1206_HandSoldering";2;"1u/10V";;;
23;"P5";"Pin_Header_Straight_1x03";1;"CONN_4";;;
24;"U5,U4";"SOT-23";2;"MAX809";;;
25;"P4";"Pin_Header_Straight_1x02_Pitch2.54mm";1;"SERIAL";;;
26;"R3,R7";"R_0805_HandSoldering";2;"100";;;
27;"D1";"D_MiniMELF";1;"1N4148";;;
28;"P2";"Pin_Header_Straight_2x03";1;"SPI";;;
29;"C20,C21,C6";"c_elec_5x5.8";3;"10m/16V";;;
30;"C19";"CP_Elec_5x5.8";1;"10m/16V";;;
31;"R14,R13";"R_0805_HandSoldering";2;"330";;;
32;"R2,R1,R4";"R_0805_HandSoldering";3;"3k3";;;
33;"R23,R8,R20,R21";"R_0805_HandSoldering";4;"22k";;;
34;"R5";"R_0805_HandSoldering";1;"20";;;
35;"R6";"R_0805_HandSoldering";1;"1M";;;
36;"R9,R10";"R_0805_HandSoldering";2;"39R";;;
37;"R11,R12,R15,R18,R22,R24";"R_0805_HandSoldering";6;"47k";;;
38;"R19";"R_0805_HandSoldering";1;"4k7";;;
39;"R26,R31";"R_0805_HandSoldering";2;"1k";;;
40;"C26";"C_0805_HandSoldering";1;"10n";;;
41;"D2,D3";"LED_0805_HandSoldering";2;"LED";;;
